"Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,Processor Graphics ‡"
"Intel® Core™ i9-13900HX Processor,Q1'23,24,5.40 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i9-13900T Processor,Q1'23,24,5.30 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-13900TE Processor,Q1'23,24,5.00 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-13905H Processor,Q1'23,14,5.40 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i9-13950HX Processor,Q1'23,24,5.50 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i9-13980HX Processor,Q1'23,24,5.60 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i3-1320PRE Processor,Q1'23,8,4.50 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i3-13300HRE Processor,Q1'23,8,4.60 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i5-1350PRE Processor,Q1'23,12,4.60 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-13600HRE Processor,Q1'23,12,4.80 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13800HRE Processor,Q1'23,14,5.00 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-13600K Processor,Q4'22,14,5.3 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-13600KF Processor,Q4'22,14,5.3 GHz,24 MB Intel® Smart Cache,"
"Intel® Core™ i7-13700K Processor,Q4'22,16,5.40 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-13700KF Processor,Q4'22,16,5.40 GHz,30 MB Intel® Smart Cache,"
"Intel® Core™ i9-13900K Processor,Q4'22,24,5.80 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-13900KF Processor,Q4'22,24,5.8 GHz,36 MB Intel® Smart Cache,"
"Intel® Core™ i3-1215UL Processor,Q3'22,6,4.40 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i3-12300HL Processor,Q3'22,8,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i5-1235UL Processor,Q3'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1245UL Processor,Q3'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-12500HL Processor,Q3'22,12,4.50 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-12600HL Processor,Q3'22,12,4.50 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1255UL Processor,Q3'22,10,4.70 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1265UL Processor,Q3'22,10,4.80 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-12700HL Processor,Q3'22,14,4.70 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-12800HL Processor,Q3'22,14,4.80 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-12450HX Processor,Q2'22,8,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i5-12600HX Processor,Q2'22,12,4.60 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i7-12650HX Processor,Q2'22,14,4.70 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i7-12800HX Processor,Q2'22,16,4.80 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i7-12850HX Processor,Q2'22,16,4.80 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i9-12900HX Processor,Q2'22,16,5.00 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i9-12950HX Processor,Q2'22,16,5.00 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i9-12900KS Processor,Q1'22,16,5.50 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i3-1215UE Processor,Q1'22,6,,10 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i3-1220PE Processor,Q1'22,8,,12 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i5-1245UE Processor,Q1'22,10,,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1250PE Processor,Q1'22,12,,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1265UE Processor,Q1'22,10,,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1270PE Processor,Q1'22,12,,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i3-1210U Processor,Q1'22,6,4.40 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i3-1215U Processor,Q1'22,6,4.40 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i3-1215U Processor,Q1'22,6,4.40 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i3-1220P Processor,Q1'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i5-1230U Processor,Q1'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
