Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Processor E5-2430 v2 (15M Cache, 2.50 GHz)",Q1'14,6,3.00 GHz,2.50 GHz,15 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor E5-1428L v2 (15M Cache, 2.20 GHz)",Q1'14,6,2.70 GHz,2.20 GHz,15 MB Intel® Smart Cache,60 W,,
"Intel® Xeon® Processor E5-2630 v2 (15M Cache, 2.60 GHz)",Q3'13,6,3.10 GHz,2.60 GHz,15 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor E5-2628L v2 (20M Cache, 1.90 GHz)",Q3'13,8,2.40 GHz,1.90 GHz,20 MB Intel® Smart Cache,70 W,,
"Intel® Xeon® Processor E5-2640 v2 (20M Cache, 2.00 GHz)",Q3'13,8,2.50 GHz,2.00 GHz,20 MB Intel® Smart Cache,95 W,,
"Intel® Xeon® Processor E5-2680 v2 (25M Cache, 2.80 GHz)",Q3'13,10,3.60 GHz,2.80 GHz,25 MB Intel® Smart Cache,115 W,,
"Intel® Xeon® Processor E5-2609 v2 (10M Cache, 2.50 GHz)",Q3'13,4,2.50 GHz,2.50 GHz,10 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor E5-2618L v2 (15M Cache, 2.00 GHz)",Q3'13,6,2.00 GHz,2.00 GHz,15 MB Intel® Smart Cache,50 W,,
"Intel® Xeon® Processor E5-2648L v2 (25M Cache, 1.90 GHz)",Q3'13,10,2.50 GHz,1.90 GHz,25 MB Intel® Smart Cache,70 W,,
"Intel® Xeon® Processor E5-2658 v2 (25M Cache, 2.40 GHz)",Q3'13,10,3.00 GHz,2.40 GHz,25 MB Intel® Smart Cache,95 W,,
"Intel® Xeon® Processor E3-1225 v3 (8M Cache, 3.20 GHz)",Q2'13,4,3.60 GHz,3.20 GHz,8 MB Intel® Smart Cache,84 W,,
"Intel® Xeon® Processor E3-1275 v3 (8M Cache, 3.50 GHz)",Q2'13,4,3.90 GHz,3.50 GHz,8 MB Intel® Smart Cache,84 W,,
"Intel® Xeon® Processor E3-1268L v3 (8M Cache, 2.30 GHz)",Q2'13,4,3.30 GHz,2.30 GHz,8 MB Intel® Smart Cache,45 W,Intel® HD Graphics 4600,
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz)",Q3'13,4,,1.80 GHz,8 MB L3 Cache,25 W,,
